Stoppested;Søndag;Søndag
Kimbrerfesten;16:30;17:30
Aars Rutebilstation;16:32;17:32
Assersvej;16:34;17:34
Park Allé;16:36;17:36
Peder Stubsvej;16:38;17:38
Brorsonsvej;16:40;17:40
Assersvej;16:42;17:42
Agertoften;16:44;17:44
Toftehaven;16:45;17:45
Gl. Gislumvej;16:47;17:47
Stenildvadparken;16:49;17:49
Stenildhøjvej;16:51;17:51
Kimbrerfesten;16:55;17:55
