16:30 - 17:45;Mini Triatlon start, forventes i mål 17:00-17:45. Pris 145 kr, tilmelding via DGI. Senest tilmelding 02-09-19 20:00 <a href='/post/triatlon/'>Info og kort over ruten</a>;DGI;;dgi.dk
17:30 - 19:45;1/10 Ironman start, forventes i mål 18:45-19:45. Pris 145 kr, tilmelding via DGI. Senest tilmelding 01-09-19 22:00 <a href='/post/triatlon/'>Info og kort over ruten</a>;DGI;;dgi.dk
17:00 - 20:00;Legeland åben.;;;
17:00 - 22:00;Madtorvet åbent.;;;
17:30 - 20:00;Stegt flæsk i kombination med revybillet. (kr. 120 incl entré  til  revy, kun flæsk kr. 75) - Forudbestilling senest 01-09-19 22:00, mulighed for køb på dagen i begrænset omfang.;Nem Tilmeld;;kimbrerfesten.nemtilmeld.dk
17:30 - 21:00;Forfest - øl 20 kr, 20-30% rabat på adre drikkevarer. Slå søm / Beer Pong i LOUNGEN. Udendørs rygepavillon, boksebold, fodbold, Thors Hammer;;;
17:30 - 00:00;Opvarmning og fest i Valhal ved <a href='http://diskotek-xqlusive.dk/' target=_blank>Diskotek XQlusive</a> (entré kr. 50). ;;;
19:00 - 20:30;Kimbrer Revyen i Revyteltet – (entré kr. 60, Kombinationsbillet mad + revy 120 kr). Senest tilmelding 5. september 2019 kl. 19:00;Nem Tilmeld;;kimbrerfesten.nemtilmeld.dk
